,Population that can work from home,Total working population,Work from home populuation ratio,Population commutes using transit,All working population,Transit commuting population ratio,B,google_trend,# Unique users,# Total posts,pop,social_rate,car_pop,all_pop,car_ratio,average_commute_time,p55,p65,p75,p85,total_pop,pp55,pp65,pp75,pp85
 TANK ,216495,402685,0.537628668,14848,394869,0.037602344,-0.601348553,48,13,15,812037,1.60091E-05,345772,394869,0.875662562,23,227365,52535,52535,17970,812037,0.279993399,0.064695328,0.064695328,0.022129534
 TARC ,189728,380718,0.498342605,10662,372989,0.028585293,-0.646820276,38,85,172,767154,0.000110799,332675,372989,0.891916384,22,220570,49608,49608,16058,767154,0.287517239,0.064664983,0.064664983,0.020931912
 TCAT ,31365,50250,0.624179104,3195,48599,0.065742093,-0.90434852,31,8,9,102962,7.76986E-05,34515,48599,0.710199798,19,25469,5356,5356,2012,102962,0.247363105,0.052019192,0.052019192,0.01954119
 The Rapid ,159040,329336,0.48291107,6610,322958,0.020467058,-1.023721937,42,3,6,643140,4.66461E-06,291813,322958,0.903563312,21,161931,35364,35364,12081,643140,0.251781883,0.054986473,0.054986473,0.018784402
 The Ride ,116991,187609,0.623589487,9745,183575,0.05308457,-0.981206113,46,19,24,365961,5.19181E-05,146114,183575,0.795936266,24,89312,18485,18485,5784,365961,0.244047863,0.050510847,0.050510847,0.015804963
 TheBus ,229963,470748,0.488505527,42191,498142,0.084696733,-0.768101266,41,26,38,987638,2.63254E-05,390648,498142,0.784210125,29,283923,76625,76625,28774,987638,0.287476788,0.077584095,0.077584095,0.029134156
 Torrance Transit ,2390559,4869658,0.490909013,294952,4749180,0.062105879,-0.715577034,38,1937,3955,10098052,0.000191819,3963851,4749180,0.834639032,31,2478262,564884,564884,180184,10098052,0.24541981,0.055939898,0.055939898,0.017843441
 TriMet ,243825,430606,0.566236885,49618,422229,0.117514429,-0.73733957,34,262,475,798647,0.000328055,292797,422229,0.693455447,27,195329,37934,37934,12646,798647,0.244574887,0.047497831,0.047497831,0.01583428
 Tri-Rail ,587519,1301540,0.451402953,68596,1280128,0.053585266,-0.420538236,37,443,829,2715516,0.000163137,1096674,1280128,0.856690893,32,749998,197088,197088,61497,2715516,0.276189866,0.072578471,0.072578471,0.022646525
 U-M Transit ,116991,187609,0.623589487,9745,183575,0.05308457,-1.045262296,46,19,24,365961,5.19181E-05,146114,183575,0.795936266,24,89312,18485,18485,5784,365961,0.244047863,0.050510847,0.050510847,0.015804963
 University of California Berkeley - Bear Transit ,502525,847170,0.593180826,116644,767292,0.152020352,-0.963870679,33,33,39,1643700,2.00767E-05,547295,767292,0.713281254,33,415473,89097,89097,28149,1643700,0.252766928,0.054205147,0.054205147,0.017125388
 UTA ,309207,576623,0.536237715,21867,569309,0.038409721,-0.758050586,33,137,234,1120805,0.000122234,491407,569309,0.863163941,22,228256,45486,45486,13008,1120805,0.203653624,0.040583331,0.040583331,0.011605944
 Valley Metro ,1024872,2004236,0.511352954,44412,1976339,0.022471853,-0.592635245,35,492,982,4253913,0.000115658,1724792,1976339,0.872720723,26,1096423,256545,256545,72967,4253913,0.257744575,0.060308003,0.060308003,0.017152913
 VIA ,429049,887464,0.483455104,22590,889387,0.025399517,-0.483701607,33,661,1085,1925865,0.000343222,801428,889387,0.901101545,25,426074,91238,91238,26143,1925865,0.22123773,0.047375076,0.047375076,0.013574679
 Via Mobility Services - Boulder ,221241,389034,0.568693225,25931,382460,0.067800554,-0.966515531,46,162,288,693417,0.000233626,296502,382460,0.775249699,25,149293,31716,31716,10342,693417,0.215300461,0.045738711,0.045738711,0.014914546
 VTA ,611494,985838,0.620278382,43180,955422,0.045194689,-0.775282078,33,266,587,1922200,0.000138383,817073,955422,0.855195924,29,468506,108902,108902,33780,1922200,0.243734263,0.056654875,0.056654875,0.017573614
 West Hollywood - WeHo ,2390559,4869658,0.490909013,294952,4749180,0.062105879,-0.81886512,38,1937,3955,10098052,0.000191819,3963851,4749180,0.834639032,31,2478262,564884,564884,180184,10098052,0.24541981,0.055939898,0.055939898,0.017843441
 WMATA ,265583,369194,0.719358928,130661,366168,0.356833475,-0.708240222,27,946,1845,684498,0.001382035,144993,366168,0.395973979,30,151629,34792,34792,10956,684498,0.221518544,0.05082849,0.05082849,0.01600589
