_id,B,L_corona,b,convergent_point,country,county,county_FIPS,divergent_point,k,decay_duration,response_interval_cliff_0,k_corona,l_corona,lat,lon,metro_area,modified_at,modified_at_corona,name,state,state_FIPS,t0,t0_corona,google_trend,distance,stretch_factor,average_procrustes_distance,first_peak_normal,first_peak_actual,second_peak_normal,second_peak_actual,first_peak_diff,second_peak_diff,google_trend_COVID19,google_trend_Coronavirus
5e88da2b7e859234c8cba97f,-0.742059326,183.6356097,0.009444649,43.86911279,US,Davidson,47037,15.65660423,0.259711868,28.21203383,6.343395769,0.051664634,-100.6880715,36.04,-86.64,Nashville,20200517,20200521,MTA & RTA,Tennessee,47,29.76285851,46,37,,,,,,,,,,61,63
5e88da2b7e859234c8cba987,-0.752292874,100.4856287,-0.013943937,39.01014572,US,San Diego,6073,18.57738938,0.35859691,20.43241253,-22.57738938,0.046472727,-182.4879998,32.83,-116.76,San Diego,20200517,20200521,MTS,California,6,28.79376755,20,33,0.274397518,1.823612965,0.479473817,7.297297297,9.307692308,15,14.725,2,-0.275,71,74
5e88da2b7e859234c8cba988,-0.890966981,173.651182,-0.007192153,38.47821628,US,San Francisco,6075,13.90522273,0.298177887,24.57258006,5.094777272,0.041786394,-106.8551349,37.77,-122.41,SF Bay Area,20200517,20200521,MUNI - SFMTA,California,6,26.1917195,43,33,0.692950688,3.236900716,0.6990348,8,7.925,17,15.425,-0.075,-1.575,65,78
5e88da2b7e859234c8cba989,-0.846063428,100.4856287,0.039419718,38.83470039,US,San Diego,6073,18.46946849,0.3597859,20.36488922,-22.46946849,0.046472727,-182.4879998,32.83,-116.76,San Diego,20200517,20200521,NCTD,California,6,28.65208444,20,33,,,,,,,,,,71,74
5e88da2b7e859234c8cba98a,-0.591407601,318.8465562,-0.009243997,33.14809856,US,Erie,36029,25.23326604,0.925745842,7.914699339,2.766733957,0.052142837,-138.5869683,43.01,-78.49,Buffalo,20200517,20200521,NFTA,New York,36,29.1906823,52,50,0.521083238,1.971151985,0.635425538,7.157894737,7.884615385,15.1,14.675,0.666666667,-0.425,60,64
5e88da2b7e859234c8cba98b,-0.684046414,4489.383502,-0.005466238,38.90260858,US,Nassau,36059,19.46653944,0.376985863,19.43574209,-0.466539438,0.041142906,-2966.513968,40.72,-73.7,NYC,20200517,20200521,NICE Bus,New York,36,29.18457401,43,36,0.154648088,1.81420889,0.43111126,7,6.8,16.5,15.875,-0.2,-0.625,56,79
5e88da2b7e859234c8cba98e,-0.737773326,2890.240667,-0.002994945,43.63098862,US,New York,36061,12.7755828,0.237466437,30.85488662,3.224417201,0.038018792,-2026.888244,40.71,-73.99,NYC,20200517,20200521,NY Waterway,New York,36,28.20328571,40,36,0.146868023,2.02918016,0.582135854,7,6.425,17,15.875,-0.575,-1.125,56,79
5e88da2b7e859234c8cba98f,-0.762911867,34.23674088,0.004669154,39.24579025,US,Orange,6059,18.24066639,0.348825522,21.00477041,-38.24066639,0.045877655,-128.6713061,33.84,-118,Los Angeles,20200517,20200521,OCTA,California,6,28.74322832,4,38,0.088676049,1.993666489,0.361184044,7,8.175,15.175,15.5,1.175,0.325,62,73
5e88da2b7e859234c8cba990,-0.591584011,163.6257551,-0.027186434,35.2539308,US,San Bernardino,6071,18.81214279,0.445640297,16.44151135,10.18785721,0.057407243,-74.71240472,34.14,-117.61,Los Angeles,20200517,20200521,Omnitrans,California,6,27.0330368,53,38,,,,,,,,,,62,73
5e88da2b7e859234c8cba991,-0.634231754,242.3448678,0.00485095,35.72279387,US,Allegheny,42003,20.80712984,0.491236815,14.91541304,7.192870159,0.040069263,-110.4600019,40.54,-79.83,Pittsburgh,20200517,20200521,PAAC,Pennsylvania,42,28.26496185,52,35,0.193051617,1.759259986,0.425271594,7.225,7.206896552,15.925,15.05,0.034482759,-0.875,59,73
5e88da2b7e859234c8cba992,-0.723471101,128.4306502,0.020758723,36.29006777,US,Cook,17031,21.74981871,0.503920068,14.54000439,-43.74981871,0.059125146,-1071.169221,42.09,-87.98,Chicago,20200517,20200521,Pace Bus,Illinois,17,29.01994324,2,48,0.257933279,1.78222296,0.505645951,7.125,8.65,16.875,15.5,1.525,-1.375,63,72
5e88da2b7e859234c8cba994,-0.532862662,1527.182561,0.021344284,47.28359363,US,Miami-Dade,12086,15.73599248,0.232256115,31.5470703,10.26400752,0.046265172,-773.8803045,25.86,-80.29,Miami,20200517,20200521,Palm Tran,Florida,12,31.50979306,50,37,0.104775929,1.331477956,0.377437364,7.425,8.256410256,15.625,15.675,0.846153846,0.05,54,76
5e88da2b7e859234c8cba995,-0.77227923,99.95676702,-0.003613512,34.59546546,US,Los Angeles,6037,19.78926316,0.494868512,14.80595315,-39.78926316,0.058253939,-693.6242805,33.97,-118.24,Los Angeles,20200517,20200521,Pasadena Transit,California,6,27.19236431,4,38,0.311213328,2.807316195,0.662870314,7.375,7.775,15.5,15.575,0.4,0.075,62,73
