name,state,state_FIPS,country,county,B,L_corona,_id,b,convergent_point,county_FIPS,divergent_point,k,k_corona,l_corona,lat,lon,metro_area,modified_at,modified_at_corona,t0,t0_corona
Community Transit,Washington,53,US,King,-0.867434098,1.60612184,5e88da2b7e859234c8cba950,0.040861856,43.66544967,53033,2.603598065,0.178441132,0.107438571,-37.3739132,47.3,-122.26,Seattle,20200408,20200404,23.13452387,0
COTA,Ohio,39,US,Franklin,-0.579735001,7.964356778,5e88da2b7e859234c8cba951,0.01106169,37.92838055,39049,18.4468651,0.376106433,0.223265949,-1.889407451,40.07,-83.18,Columbus,20200408,20200404,28.18762283,52
County Connection,California,6,US,Contra Costa,-0.762036609,6.528661921,5e88da2b7e859234c8cba952,-0.015599014,35.86197316,6013,17.2223352,0.393093649,0.13197303,-1.581770403,37.86,-121.64,SF Bay Area,20200408,20200404,26.54215418,42
CTA,Illinois,17,US,Cook,-0.787598493,0.008096452,5e88da2b7e859234c8cba953,-0.014366361,36.39583088,17031,20.431126,0.458957641,0.198105087,-21.46817151,42.09,-87.98,Chicago,20200408,20200404,28.41347844,2
C-TRAN,Washington,53,US,Clark,-0.714582838,0.439966225,5e88da2b7e859234c8cba954,-0.012404228,41.80686144,53011,17.63754131,0.303158022,0.235540508,-0.297062864,45.93,-122.44,Vancouver,20200408,20200404,29.72220137,45
CTTransit Hartford,Connecticut,9,US,Hartford,-0.602433363,10.25257093,5e88da2b7e859234c8cba955,0.034343648,36.31565537,9003,21.2159112,0.485248175,0.217305465,-1.855372352,41.87,-72.67,Hartford,20200408,20200404,28.76578328,52
CTTransit New Britain,Connecticut,9,US,Hartford,-0.683912574,10.25257093,5e88da2b7e859234c8cba956,0.056439589,36.0381554,9003,20.71371788,0.478133262,0.217305465,-1.855372352,41.87,-72.67,New Britain,20200408,20200404,28.37593664,52
CTTransit New Haven,Connecticut,9,US,New Haven,-0.625435633,6.646514241,5e88da2b7e859234c8cba957,0.016451301,38.45373634,9009,19.76071909,0.391971141,0.254953652,-1.234169646,41.34,-73.06,New Haven,20200408,20200404,29.10722771,52
CTTransit Stamford,Connecticut,9,US,Fairfield,-0.664070884,11.71653892,5e88da2b7e859234c8cba958,0.029262657,37.04096573,9001,19.81462167,0.42534407,0.230856951,-4.83219238,41.39,-73.31,Stamford,20200408,20200404,28.4277937,47
Culver CityBus,California,6,US,Los Angeles,-0.797055154,0.004698436,5e88da2b7e859234c8cba959,0.010901535,36.05717829,6037,18.39707614,0.414896994,0.206207706,-7.560681157,33.97,-118.24,Los Angeles,20200408,20200404,27.22712722,4
DART,Texas,48,US,Dallas,-0.583680208,15.92867562,5e88da2b7e859234c8cba95a,0.018725438,40.77118199,48113,19.55919993,0.345423793,0.17632678,-5.497955393,32.96,-96.83,Dallas,20200408,20200404,30.16519096,48
DC Circulator,D.C,11,US,Washington,-0.774705169,12.75977767,5e88da2b7e859234c8cba95b,-0.012692007,48.92442019,11001,16.55595693,0.226366115,0.163850015,-3.93117156,38.89,-77.03,Washington D.C.,20200408,20200404,32.74018856,46
DDOT,Michigan,26,US,Wayne,-0.557508195,43.16435459,5e88da2b7e859234c8cba95c,0.014992847,34.50216936,26163,23.54915412,0.668959471,0.215521525,-22.02728598,42.25,-83.21,Detroit,20200408,20200404,29.02566174,48
Fairfax Connector,D.C,11,US,Washington,-0.608976319,12.75977767,5e88da2b7e859234c8cba95d,-0.004737978,48.58613447,11001,18.27893439,0.241761802,0.163850015,-3.93117156,38.89,-77.03,Washington D.C.,20200408,20200404,33.43253443,46
Foothill Transit,California,6,US,Los Angeles,-0.735198715,0.004698436,5e88da2b7e859234c8cba95e,0.020309856,35.53990818,6037,19.07566344,0.445032457,0.206207706,-7.560681157,33.97,-118.24,Los Angeles,20200408,20200404,27.30778581,4
GCRTA,Ohio,39,US,Cuyahoga,-0.622460957,13.37789904,5e88da2b7e859234c8cba95f,-0.010082358,36.84655279,39035,21.37735015,0.473658757,0.171657239,-4.100816041,41.36,-81.86,Cleveland,20200408,20200404,29.11195147,47
Glendale Beeline,California,6,US,Los Angeles,-0.78189922,0.004698436,5e88da2b7e859234c8cba960,0.018328739,35.42213304,6037,20.07026781,0.477279027,0.206207706,-7.560681157,33.97,-118.24,Los Angeles,20200408,20200404,27.74620043,4
Golden Gate Transit,California,6,US,"Marin, Sonoma",-0.855738508,,5e88da2b7e859234c8cba961,-0.022502464,37.0892127,,14.58728101,0.325621969,,,,,SF Bay Area,20200408,,25.83824685,
Greater Dayton RTA,Ohio,39,US,Montgomery,-0.520990585,3.017407688,5e88da2b7e859234c8cba962,-0.003343095,42.40412965,39113,18.73829696,0.309607669,0.212566939,-0.242375609,39.83,-84.41,Dayton,20200408,20200404,30.57121331,57
Greater Portland Metro Bus,Oregon,41,US,Multnomah,-0.777135284,1.907431613,5e88da2b7e859234c8cba963,-0.005394717,35.0345979,41051,23.88176673,0.656974286,0.199507511,-0.672065741,45.55,-122.27,Portland,20200408,20200404,29.45818232,48
GTrans,California,6,US,Los Angeles,-0.646487518,0.004698436,5e88da2b7e859234c8cba964,-0.013727251,36.69535764,6037,18.51996873,0.403134333,0.206207706,-7.560681157,33.97,-118.24,Los Angeles,20200408,20200404,27.60766318,4
Hartford Line,Connecticut,9,US,Hartford,-0.64493329,10.25257093,5e88da2b7e859234c8cba965,0.04719279,38.66013692,9003,19.88949965,0.390350268,0.217305465,-1.855372352,41.87,-72.67,Hartford,20200408,20200404,29.27481828,52
HRT,Virginia,51,US,Hampton,-0.47287873,3.272217152,5e88da2b7e859234c8cba966,0.021877594,44.91906168,51650,20.47251005,0.299720116,0.354342842,-0.060760875,37.036325,-76.354938,Hampton,20200408,20200404,32.69578587,65
KCATA,Missouri,29,US,Jackson,-0.402391376,14.76636287,5e88da2b7e859234c8cba967,0.017209103,41.84706643,29095,16.20714825,0.285770151,0.204926321,-1.613076169,38.91,-94.38,Kansas City,20200408,20200404,29.02710734,56
King County Metro,Washington,53,US,King,-0.816717026,1.60612184,5e88da2b7e859234c8cba968,0.023015358,42.49395589,53033,5.875938599,0.200096123,0.107438571,-37.3739132,47.3,-122.26,Seattle,20200408,20200404,24.18494724,0
LA DOT,California,6,US,Los Angeles,-0.734084972,0.004698436,5e88da2b7e859234c8cba969,0.017386075,37.16014454,6037,18.31422503,0.388790968,0.206207706,-7.560681157,33.97,-118.24,Los Angeles,20200408,20200404,27.73718479,4
LA Metro - Bus,California,6,US,Los Angeles,-0.714460775,0.004698436,5e88da2b7e859234c8cba96a,0.007691785,36.9476644,6037,18.43641569,0.395820045,0.206207706,-7.560681157,33.97,-118.24,Los Angeles,20200408,20200404,27.69204004,4
LA Metro - Rail,California,6,US,Los Angeles,-0.751236974,0.004698436,5e88da2b7e859234c8cba96b,0.013282069,36.12037838,6037,18.79728929,0.422968632,0.206207706,-7.560681157,33.97,-118.24,Los Angeles,20200408,20200404,27.45883383,4
Las Vegas Monorail,Nevada,32,US,Clark,-0.696786783,5.28978233,5e88da2b7e859234c8cba96c,-0.027954303,37.75366632,32003,23.4649829,0.512792052,0.19700949,-2.8179442,36.14,-115.28,Las Vegas,20200408,20200404,30.60932461,43
Long Beach Transit,California,6,US,Los Angeles,-0.721711772,0.004698436,5e88da2b7e859234c8cba96d,0.009191425,36.57787409,6037,18.9021109,0.414529388,0.206207706,-7.560681157,33.97,-118.24,Los Angeles,20200408,20200404,27.7399925,4
Long Island Rail Road,New York,36,US,Suffolk,-0.679226176,67.54036337,5e88da2b7e859234c8cba96e,0.00323808,39.55095282,36103,18.25751824,0.344102463,0.202852178,-43.44272055,40.81,-73.04,NYC,20200408,20200404,28.90423553,46
Lynx,Florida,12,US,Orange,-0.596940135,5.61944431,5e88da2b7e859234c8cba96f,-0.005183475,39.50282831,12095,22.15220518,0.422297415,0.235835659,-1.469929652,28.68,-81.51,Orlando,20200408,20200404,30.82751674,51
Madison Metro,Wisconsin,55,US,Dane,-0.892308111,7.807911862,5e88da2b7e859234c8cba970,-0.004005339,32.95465324,55025,24.11564587,0.828953183,0.151859805,-2.060602055,42.86,-89.53,Madison,20200408,20200404,28.53514956,47
MARTA,Georgia,13,US,Fulton,-0.480343947,4.184678751,5e88da2b7e859234c8cba971,-0.002398639,35.56805663,13121,20.6518738,0.491219729,0.178260791,-2.697154412,34.06,-84.27,Atlanta,20200408,20200404,28.10996522,41
MBTA,Massachusetts,25,US,Suffolk,-0.786184704,0.001790253,5e88da2b7e859234c8cba972,-0.002223909,39.76973943,25025,18.34668882,0.342020538,0.230383587,-2.214491828,42.35,-71.06,Boston,20200408,20200404,29.05821413,10
MCTS,Wisconsin,55,US,Milwaukee,-0.578816765,35.99724471,5e88da2b7e859234c8cba973,0.004935289,34.31251285,55079,25.05836049,0.79176601,0.168557861,-6.464301075,42.94,-87.86,Milwaukee County,20200408,20200404,29.68543667,51
Metra,Illinois,17,US,Cook,-0.754225477,0.008096452,5e88da2b7e859234c8cba974,0.017289191,36.21448576,17031,21.54965156,0.499639014,0.198105087,-21.46817151,42.09,-87.98,Chicago,20200408,20200404,28.88206866,2
METRO,Texas,48,US,Harris,-0.631724769,0.638195872,5e88da2b7e859234c8cba975,0.020515582,43.5266538,48201,17.64757532,0.28312922,0.264530759,-0.595412717,29.76,-95.38,Houston,20200408,20200404,30.58711456,43
SORTA - Metro,Ohio,39,US,Hamilton,-0.524173339,11.55346382,5e88da2b7e859234c8cba976,-0.009080206,32.96458147,39061,23.87576698,0.806169309,0.200846679,-0.900712401,39.13,-84.71,Cincinnati,20200408,20200404,28.42017422,57
Metro Transit St Louis,Missouri,29,US,St Louis,-0.491591473,2.749470111,5e88da2b7e859234c8cba977,-0.008723558,38.63465255,29189,12.58942125,0.281323026,0.227069076,-2.894511706,38.65,-90.58,St. Louis,20200408,20200404,25.6120369,46
Metro Transit,Minnesota,27,US,Ramsey,-0.682284972,2.164128166,5e88da2b7e859234c8cba978,-0.033403448,36.88083143,27123,21.40768761,0.473538111,0.132665435,-0.587765128,44.94,-93.1,Minneapolis-Saint Paul,20200408,20200404,29.14425952,44
Metrolink,California,6,US,Orange,-0.654792557,0.006836404,5e88da2b7e859234c8cba979,0.017627384,34.55544085,6059,19.40118952,0.483502822,0.174203688,-2.760925605,33.84,-118,Los Angeles,20200408,20200404,26.97831519,4
Metro-North Railroad,New York and Connecticut,,US,"New York, Bronx, Westchester, Putnam, Dutchess, Rockland, Orange,Fairlield, New Haven",-0.647806618,,5e88da2b7e859234c8cba97a,0.009212759,36.45906011,,20.63516675,0.463041751,,,,,NYC,20200408,,28.54711343,
Miami-Dade Transit,Florida,12,US,Miami-Dade,-0.611009296,22.75100641,5e88da2b7e859234c8cba97b,0.004139711,38.59535296,12086,22.94803794,0.46826713,0.240541639,-5.879839498,25.86,-80.29,Miami,20200408,20200404,30.77169545,50
Monterey-Salinas Transit,California,6,US,Monterey,-0.887619958,6.191710293,5e88da2b7e859234c8cba97c,0.003442417,38.81565864,6053,18.53771142,0.361334568,0.153333693,-0.595580186,35.85,-120.8,Monterey,20200408,20200404,28.67668503,56
Montgomery County Transit,D.C,11,US,Washington,-0.77566618,12.75977767,5e88da2b7e859234c8cba97d,0.007425051,49.75376518,11001,18.07526842,0.231296433,0.163850015,-3.93117156,38.89,-77.03,Washington D.C.,20200408,20200404,33.9145168,46
MDOT MTA,Maryland,24,US,Baltimore,-0.564639391,2.762466227,5e88da2b7e859234c8cba97e,-0.006483159,41.77267827,24005,18.40062253,0.313499308,0.22283919,-0.802995559,39.51,-76.49,Baltimore,20200408,20200404,30.0866504,49
MTA & RTA,Tennessee,47,US,Davidson,-0.676505534,18.08850661,5e88da2b7e859234c8cba97f,-0.002065913,39.89171763,47037,18.40299784,0.340975329,0.136421599,-4.647692177,36.04,-86.64,Nashville,20200408,20200404,29.14735774,46
MTA - Bronx Buses,New York,36,US,Bronx,-0.663966839,140.3617369,5e88da2b7e859234c8cba980,-0.005777186,36.84435205,36005,20.91379525,0.459941443,0.179245779,-75.88673403,40.71,-73.99,NYC,20200408,20200404,28.87907365,46
MTA - Brooklyn Buses,New York,36,US,Kings,-0.698670394,174.5765608,5e88da2b7e859234c8cba981,-0.010440883,36.58892044,36047,20.30341724,0.449916911,0.163654013,-119.6063381,40.71,-73.99,NYC,20200408,20200404,28.44616884,43
MTA - Manhattan Buses,New York,36,US,New York,-0.745359561,110.5213363,5e88da2b7e859234c8cba982,-0.007831038,36.18683494,36061,19.58027761,0.441218679,0.145050404,-90.95204478,40.71,-73.99,NYC,20200408,20200404,27.88355627,40
MTA - NYC Bus Company,New York,36,US,New York,-0.682332488,110.5213363,5e88da2b7e859234c8cba983,-0.008972797,36.70422443,36061,20.29660064,0.446568216,0.145050404,-90.95204478,40.71,-73.99,NYC,20200408,20200404,28.50041254,40
MTA - NYC Subway,New York,36,US,New York,-0.719499126,110.5213363,5e88da2b7e859234c8cba984,-0.011877492,36.67951616,36061,20.55996843,0.454548938,0.145050404,-90.95204478,40.71,-73.99,NYC,20200408,20200404,28.61974229,40
MTA - Queens Buses,New York,36,US,Queens,-0.717538001,223.5300224,5e88da2b7e859234c8cba985,-0.00671908,37.45189935,36081,20.05783088,0.421242638,0.176129441,-130.8991796,40.71,-73.99,NYC,20200408,20200404,28.75486511,45
MTA - Staten Island Buses,New York,36,US,Richmond,-0.732512018,72.17835525,5e88da2b7e859234c8cba986,-0.009257458,36.09375621,36085,19.94843882,0.453823428,0.163678361,-27.43963016,40.71,-73.99,NYC,20200408,20200404,28.02109751,47
MTS,California,6,US,San Diego,-0.758153653,0.284572346,5e88da2b7e859234c8cba987,-0.013575536,39.15025011,6073,18.4145165,0.353357322,0.16064526,-4.233060322,32.83,-116.76,San Diego,20200408,20200404,28.78238331,20
MUNI - SFMTA,California,6,US,San Francisco,-0.87045471,9.899170074,5e88da2b7e859234c8cba988,-0.009492325,37.75317938,6075,14.27086125,0.312027256,0.145808062,-2.773724154,37.77,-122.41,SF Bay Area,20200408,20200404,26.01202031,43
NCTD,California,6,US,San Diego,-0.854788211,0.284572346,5e88da2b7e859234c8cba989,0.039178078,39.11619851,6073,18.33671578,0.352613363,0.16064526,-4.233060322,32.83,-116.76,San Diego,20200408,20200404,28.72645714,20
NFTA,New York,36,US,Erie,-0.63090069,13.04390899,5e88da2b7e859234c8cba98a,-0.009188945,33.7750281,36029,25.02728721,0.837601775,0.212221447,-2.67213819,43.01,-78.49,Buffalo,20200408,20200404,29.40115766,52
NICE Bus,New York,36,US,Nassau,-0.687016413,81.09486397,5e88da2b7e859234c8cba98b,-0.005753729,38.95854809,36059,19.41250777,0.374864841,0.181493665,-66.78014625,40.72,-73.7,NYC,20200408,20200404,29.18552793,43
NJ Transit - Bus,New Jersey,,US,New Jersey,-0.666199821,,5e88da2b7e859234c8cba98c,0.006941149,39.20908746,,19.08827035,0.364156349,,,,,New Jersey,20200408,,29.1486789,
NJ Transit - Rail,New Jersey,,US,New Jersey,-0.646575695,,5e88da2b7e859234c8cba98d,0.009636925,38.3185762,,19.36305246,0.386542909,,,,,New Jersey,20200408,,28.84081433,
NY Waterway,New York,36,US,New York,-0.671087658,110.5213363,5e88da2b7e859234c8cba98e,-0.015359481,39.19549869,36061,15.76166538,0.312672843,0.145050404,-90.95204478,40.71,-73.99,NYC,20200408,20200404,27.47858204,40
OCTA,California,6,US,Orange,-0.747633684,0.006836404,5e88da2b7e859234c8cba98f,0.002954774,38.58604897,6059,18.60745617,0.366748718,0.174203688,-2.760925605,33.84,-118,Los Angeles,20200408,20200404,28.59675257,4
Omnitrans,California,6,US,San Bernardino,-0.560541736,3.343703421,5e88da2b7e859234c8cba990,-0.02978165,34.08753591,6071,19.41980405,0.499540308,0.246069597,-0.370190774,34.14,-117.61,Los Angeles,20200408,20200404,26.75366998,53
PAAC,Pennsylvania,42,US,Allegheny,-0.645599253,10.68918281,5e88da2b7e859234c8cba991,0.00523984,36.00764732,42003,20.70217399,0.478725691,0.206606845,-1.998099497,40.54,-79.83,Pittsburgh,20200408,20200404,28.35491065,52
Pace Bus,Illinois,17,US,Cook,-0.718269085,0.008096452,5e88da2b7e859234c8cba992,0.01944843,36.1325643,17031,21.81104851,0.511616466,0.198105087,-21.46817151,42.09,-87.98,Chicago,20200408,20200404,28.9718064,2
Pacific Surfliner,California,,US,"San Diego, Orange, Los Angeles, San Luis Obispo, Ventura, Santa Barbara",-0.676353496,,5e88da2b7e859234c8cba993,0.06090673,35.5446527,,18.58409846,0.432009661,,,,,California,20200408,,27.06437558,
Palm Tran,Florida,12,US,Miami-Dade,-0.461832505,22.75100641,5e88da2b7e859234c8cba994,0.008336634,39.30740142,12086,21.32525498,0.407466557,0.240541639,-5.879839498,25.86,-80.29,Miami,20200408,20200404,30.3163282,50
Pasadena Transit,California,6,US,Los Angeles,-0.783666602,0.004698436,5e88da2b7e859234c8cba995,-0.003066253,34.929403,6037,19.63024618,0.478923341,0.206207706,-7.560681157,33.97,-118.24,Los Angeles,20200408,20200404,27.27982459,4
PATCO,Pennsylvania,42,US,Philadelphia,-0.570210279,6.097879846,5e88da2b7e859234c8cba996,-0.027117188,35.90195501,42101,20.58927233,0.478500303,0.243245634,-5.674220456,39.95,-75.16,Philadelphia,20200408,20200404,28.24561367,47
PATH,New York,36,US,New York,-0.724405299,110.5213363,5e88da2b7e859234c8cba997,0.00464687,36.86230403,36061,19.22597939,0.415456363,0.145050404,-90.95204478,40.71,-73.99,NYC,20200408,20200404,28.04414171,40
Pierce Transit,Washington,53,US,King,-0.776613176,1.60612184,5e88da2b7e859234c8cba998,0.009147374,42.49193917,53033,7.329178117,0.208377359,0.107438571,-37.3739132,47.3,-122.26,Seattle,20200408,20200404,24.91055864,0
PresidiGo,California,6,US,San Francisco,-0.912357555,9.899170074,5e88da2b7e859234c8cba999,-0.016036375,38.04262415,6075,12.13468941,0.28281387,0.145808062,-2.773724154,37.77,-122.41,SF Bay Area,20200408,20200404,25.08865678,43
PSTA,Florida,12,US,Hillsborough,-0.427673467,1.789524303,5e88da2b7e859234c8cba99a,0.013161629,42.87007274,12057,22.79709262,0.365024189,0.179644069,-2.171014459,27.76,-82.26,Tampa,20200408,20200404,32.83358268,40
RIPTA,Rhode Island,44,US,Providence,-0.776017981,0.052353322,5e88da2b7e859234c8cba99b,-0.001828501,37.16851314,44007,20.09845673,0.429238376,0.288677781,-0.294352254,41.95,-71.45,Providence,20200408,20200404,28.63348494,39
Riverside Transit Agency,California,6,US,Riverside,-0.638644006,2.007731864,5e88da2b7e859234c8cba99c,-0.007641562,34.54659293,6065,19.24717894,0.47891529,0.227155357,-0.108621399,33.99,-117.53,Los Angeles,20200408,20200404,26.89688593,46
RTC Southern Nevada,Nevada,32,US,Clark,-0.611912689,5.28978233,5e88da2b7e859234c8cba99d,-0.022233912,38.4695768,32003,22.97623403,0.472920751,0.19700949,-2.8179442,36.14,-115.28,Las Vegas,20200408,20200404,30.72290542,43
RTD,Colorado,8,US,Denver,-0.761458561,8.345381146,5e88da2b7e859234c8cba99e,-0.003606872,38.15462996,8031,18.35008798,0.369971863,0.168855422,-3.404895555,39.59,-105.01,Denver,20200408,20200404,28.25235897,44
SamTrans,California,6,US,San Mateo,-0.816479529,11.48603136,5e88da2b7e859234c8cba99f,-0.00628775,38.0646109,6081,14.59088039,0.312141408,0.118226915,-4.774841965,37.5,-122.3,SF Bay Area,20200408,20200404,26.32774565,40
Santa Clarita Transit,California,6,US,Los Angeles,-0.70939726,0.004698436,5e88da2b7e859234c8cba9a0,-0.036369044,34.68563553,6037,20.53068792,0.517636906,0.206207706,-7.560681157,33.97,-118.24,Los Angeles,20200408,20200404,27.60816172,4
Santa Cruz Metro,California,6,US,Santa Cruz,-0.792576421,4.093849413,5e88da2b7e859234c8cba9a1,-0.021501045,35.0681688,6087,16.09597159,0.386203201,0.116738232,-0.678220731,36.97,-121.89,Santa Cruz,20200408,20200404,25.58207019,47
SEPTA - Bus,Pennsylvania,42,US,Philadelphia,-0.5907555,6.097879846,5e88da2b7e859234c8cba9a2,-0.033778493,35.45774808,42101,21.79231511,0.536179374,0.243245634,-5.674220456,39.95,-75.16,Philadelphia,20200408,20200404,28.62503159,47
SEPTA - Rail,Pennsylvania,42,US,Philadelphia,-0.583379269,6.097879846,5e88da2b7e859234c8cba9a3,-0.031880136,35.45967352,42101,21.5591683,0.527112013,0.243245634,-5.674220456,39.95,-75.16,Philadelphia,20200408,20200404,28.50942091,47
Shore Line East,Connecticut,9,US,New Haven,-0.676536695,6.646514241,5e88da2b7e859234c8cba9a4,0.039655807,31.90336731,9009,26.18524072,1.28138529,0.254953652,-1.234169646,41.34,-73.06,New Haven,20200408,20200404,29.04430401,52
SMART,Michigan,26,US,Wayne,-0.576518296,43.16435459,5e88da2b7e859234c8cba9a5,0.026512759,36.45766472,26163,22.0384572,0.508150207,0.215521525,-22.02728598,42.25,-83.21,Detroit,20200408,20200404,29.24806096,48
Sound Transit,Washington,53,US,King,-0.767051542,1.60612184,5e88da2b7e859234c8cba9a6,0.039137237,39.58039686,53033,12.120271,0.266827739,0.107438571,-37.3739132,47.3,-122.26,Seattle,20200408,20200404,25.85033393,0
Suffolk County Transit,New York,36,US,Suffolk,-0.697879613,67.54036337,5e88da2b7e859234c8cba9a7,0.034642013,38.84984062,36103,20.18532021,0.392569599,0.202852178,-43.44272055,40.81,-73.04,NYC,20200408,20200404,29.51758041,46
TANK,Ohio,39,US,Hamilton,-0.566407104,11.55346382,5e88da2b7e859234c8cba9a8,-0.009478924,33.96277655,39061,20.46052206,0.54265925,0.200846679,-0.900712401,39.13,-84.71,Cincinnati,20200408,20200404,27.21164931,57
TARC,Kentucky,21,US,Jefferson,-0.623800045,1.233453621,5e88da2b7e859234c8cba9a9,0.019909071,41.9687801,21111,18.3164422,0.309784315,0.232063176,-0.259259353,38.25,-85.48,Louisville,20200408,20200404,30.14261115,47
TCAT,New York,36,US,Tompkins,-0.904317393,1.927067794,5e88da2b7e859234c8cba9aa,-0.019810628,36.64197808,36109,21.44058096,0.482003281,0.214407079,-0.260782046,42.49,-76.29,Ithaca,20200408,20200404,29.04127952,52
The Rapid,Michigan,26,US,Kent,-0.999853407,2.666518578,5e88da2b7e859234c8cba9ab,0.043717761,47.53386911,26081,8.652207464,0.188446763,0.195347823,-0.226962938,42.95,-85.48,Grand Rapids,20200408,20200404,28.09303829,50
The Ride,Michigan,26,US,Washtenaw,-0.969369325,4.151088705,5e88da2b7e859234c8cba9ac,0.041179492,39.50597164,26161,14.32829474,0.291016654,0.230327427,-1.155314771,42.27,-83.73,Ann Arbor,20200408,20200404,26.91713319,50
TheBus,Hawaii,15,US,Honolulu,-0.774398166,3.500070682,5e88da2b7e859234c8cba9ad,-0.00487694,40.32510714,15003,21.15699552,0.382255876,0.161049521,-1.26641858,21.38,-157.92,Oahu,20200408,20200404,30.74105133,45
Torrance Transit,California,6,US,Los Angeles,-0.703173062,0.004698436,5e88da2b7e859234c8cba9ae,0.016280465,35.96071558,6037,18.09960819,0.410227828,0.206207706,-7.560681157,33.97,-118.24,Los Angeles,20200408,20200404,27.03016188,4
TriMet,Oregon,41,US,Multnomah,-0.726140551,1.907431613,5e88da2b7e859234c8cba9af,-0.015402231,38.76309176,41051,18.87747019,0.368463378,0.199507511,-0.672065741,45.55,-122.27,Portland,20200408,20200404,28.82028098,48
Tri-Rail,Florida,12,US,Miami-Dade,-0.435116295,22.75100641,5e88da2b7e859234c8cba9b0,0.017994984,35.11301796,12086,24.19411631,0.671049482,0.240541639,-5.879839498,25.86,-80.29,Miami,20200408,20200404,29.65356714,50
U-M Transit,Michigan,26,US,Washtenaw,-1.020755565,4.151088705,5e88da2b7e859234c8cba9b1,0.053960336,40.32913319,26161,11.52292637,0.254359185,0.230327427,-1.155314771,42.27,-83.73,Ann Arbor,20200408,20200404,25.92602978,50
University of California Berkeley - Bear Transit,California,6,US,Alameda,-0.960583554,5.029246044,5e88da2b7e859234c8cba9b2,-0.00063966,36.71975084,6001,16.31777925,0.359138001,0.151538148,-3.228778999,37.77,-122.27,SF Bay Area,20200408,20200404,26.51876505,41
UTA,Utah,49,US,Salt Lake,-0.734929841,14.68765215,5e88da2b7e859234c8cba9b3,-0.030074458,37.34044808,49035,17.77489276,0.374490944,0.178556655,-2.749391496,40.59,-112.1,Salt Lake City,20200408,20200404,27.55767042,50
